FL_DATE,UNIQUE_CARRIER,AIRLINE_ID,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,DISTANCE
2015-01-01,EV,20366,EV,5306,13277,1327702,33277,MGM,10397,1039705,30397,ATL,1518,1512,-6.00,10.00,1522,1651,4.00,1711,1655,-16.00,0.00,,0.00,147.00
2015-01-01,EV,20366,EV,5307,10397,1039705,30397,ATL,13795,1379502,33795,OAJ,1328,1321,-7.00,12.00,1333,1429,3.00,1444,1432,-12.00,0.00,,0.00,399.00
2015-01-01,EV,20366,EV,5307,13795,1379502,33795,OAJ,10397,1039705,30397,ATL,1515,1507,-8.00,6.00,1513,1623,4.00,1649,1627,-22.00,0.00,,0.00,399.00
2015-01-01,EV,20366,EV,5308,10397,1039705,30397,ATL,13277,1327702,33277,MGM,1339,1333,-6.00,9.00,1342,1311,4.00,1332,1315,-17.00,0.00,,0.00,147.00
2015-01-01,EV,20366,EV,5308,13277,1327702,33277,MGM,10397,1039705,30397,ATL,1358,1352,-6.00,9.00,1401,1533,7.00,1551,1540,-11.00,0.00,,0.00,147.00
2015-01-01,EV,20366,EV,5310,10397,1039705,30397,ATL,13277,1327702,33277,MGM,1725,1720,-5.00,14.00,1734,1703,3.00,1718,1706,-12.00,0.00,,0.00,147.00
2015-01-01,EV,20366,EV,5394,14730,1473003,33044,SDF,11433,1143302,31295,DTW,1730,1725,-5.00,10.00,1735,1829,6.00,1856,1835,-21.00,0.00,,0.00,306.00
2015-01-01,EV,20366,EV,5317,14696,1469606,34696,SBN,11433,1143302,31295,DTW,1005,1001,-4.00,38.00,1039,1116,7.00,1112,1123,11.00,0.00,,0.00,157.00
2015-01-01,EV,20366,EV,5322,10397,1039705,30397,ATL,11146,1114604,31146,CRW,2039,2133,54.00,8.00,2141,2233,2.00,2157,2235,38.00,0.00,,0.00,363.00
2015-01-01,EV,20366,EV,5323,10980,1098002,30980,CHA,10397,1039705,30397,ATL,1120,1112,-8.00,12.00,1124,1149,3.00,1211,1152,-19.00,0.00,,0.00,106.00
2015-01-01,EV,20366,EV,5327,11433,1143302,31295,DTW,13485,1348502,33485,MSN,1545,1541,-4.00,15.00,1556,1553,2.00,1611,1555,-16.00,0.00,,0.00,311.00
